Name,Profession,Experience,Satisfaction,Waiting Time,Education,Fee,Location,To book appointments visit
Ms. Fareeha Naseer,"Psychologist, Counselor",3 Years,100%,Not Available,MS (Counselling Psychology),"Rs. 1,500",Chinar International Hospital,https://oladoc.com/pakistan/islamabad/dr/psychologist/fareeha-naseer/1248871
Ms. Andleeb Afzal,Psychologist,2 Years,Not Available,Not Available,MS (Clinical Psychology),"Rs. 2,000",Cognitive Behaviorial Rewiring,https://oladoc.com/pakistan/islamabad/dr/psychologist/andleeb-afzal/276436
Dr. Anbreen Zafar,Psychologist,18 Years,100%,Under 15 Min,"M.Sc (Applied Psychology), M.Phil (Psychology), Post Magisterial Diploma in Clinical Psychology, Ph.D. (Clinical Psychology)","Rs. 3,000",Imranz Clinic,https://oladoc.com/pakistan/islamabad/dr/psychologist/anbreen-zafar/9090
Ms. Nimra Nadeem,Psychologist,2 Years,Not Available,Not Available,"MS (Behavioural Therapy), Certified in Psychology","Rs. 3,000",Noor Medical & Rehabilitation Centre (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/nimra-nadeem/1194630
Ms. Ambreen Abid,Psychologist,7 Years,100%,Under 15 Min,"MSc. (Psychology), PMDCP","Rs. 2,000","Al Safiya Medical and Diagnostic Centre, MaxHealth Hospital",https://oladoc.com/pakistan/islamabad/dr/psychologist/ambreen-abid/292518
Ms. Arooj Ashraf,Psychologist,3 Years,100%,Under 15 Min,"M.S. (Clinical Psychology), M.phill (Clinical Psychology)","Rs. 1,500",MM Hospital,https://oladoc.com/pakistan/islamabad/dr/psychologist/arooj-ashraf/1140158
Ms. Saima Saghir,Psychologist,10 Years,100%,Under 15 Min,MSc (Behavioural Sciences),"Rs. 2,000",Not Available,https://oladoc.com/pakistan/islamabad/dr/psychologist/saima-saghir/364168
Ms. Javeria Liaqat,Psychologist,3 Years,100%,Under 15 Min,"MSc (Clincal Psychology), ADCP","Rs. 2,000",Not Available,https://oladoc.com/pakistan/islamabad/dr/psychologist/javeria-liaqat/364171
Ms. Sidra Malik,Psychologist,Not Available,100%,Under 15 Min,"BS , PMD, M.Phil (Clinical Psychology)","Rs. 5,000",Meeting Matters,https://oladoc.com/pakistan/islamabad/dr/psychologist/sidra-malik/66820
Ms. Armish Hussain,Psychologist,7 Years,100%,Under 15 Min,"Master's in Clinical Psychology (UOP), ADCP( NUML ISB)","Rs. 2,500",Urology Clinic (Islamabad),https://oladoc.com/pakistan/islamabad/dr/psychologist/armish-hussain/311078
Ms. Sumnah Shamroze Khan,Psychologist,6 Years,94%,Under 15 Min,"MSc, PMDCP","Rs. 1,500",Zobia Hospital (G-9),https://oladoc.com/pakistan/rawalpindi/dr/psychologist/sumnah-shamroze-khan/287371
Ms. Nida Tehreem,Psychologist,7 Years,Not Available,Not Available,"M.Sc (Applied Psychology), Post Graduate Diploma in Clinical Psychology, Certified in Intensive Training in Psychotherapies","Rs. 2,000",Capital Diagnostic Center (Media Foundation Plaza),https://oladoc.com/pakistan/islamabad/dr/psychologist/nida-tehreem/2298539
Ms. Hina Fazil,"Speech and Language Pathologist, Psychologist",7 Years,100%,Not Available,"MS (Speech & Language Pathology), ADCP (Clinical Psychology), MSc (Psychology)","Rs. 2,000",Shaafi Medical & Rehabilitation Complex,https://oladoc.com/pakistan/islamabad/dr/speech-and-language-pathologist/hina-fazil/1393825
Mr. Hanan Sami,Psychologist,2 Years,Not Available,Not Available,M.S. Clinical Psychology,"Rs. 3,000","House Of Wellness,Islamabad",https://oladoc.com/pakistan/islamabad/dr/psychologist/hanan-sami/328378
Mr. M. Nauman Adil,Psychologist,2 Years,Not Available,Not Available,BS (Clinical Psychology),"Rs. 2,000",The New Life Rehab Center,https://oladoc.com/pakistan/karachi/dr/psychologist/m-nauman-adil/516517
Ms.  Rabia Batool,Psychologist,Not Available,Not Available,Not Available,MS Psychology,Not Available,"South East Hospital, Salamat Clinic",https://oladoc.com/pakistan/islamabad/dr/psychologist/rabia-batool-psychologist/102892
Dr. Rabia Batool,Psychologist,Not Available,Not Available,Not Available,MBBS,Not Available,Islamabad Specialists Clinic (PWD Branch),https://oladoc.com/pakistan/islamabad/dr/psychologist/rabia-batool/30696
Ms.  Rehmana  Riaz,Psychologist,Not Available,Not Available,Not Available,Msc Clinical Psychology,Not Available,South East Hospital,https://oladoc.com/pakistan/islamabad/dr/psychologist/rehana-riaz/102888
Ms. Mehwish Zulfiqar,Psychologist,Not Available,Not Available,Not Available,MBBS,Not Available,Bee Well Hospital (Islamabad),https://oladoc.com/pakistan/islamabad/dr/psychologist/mehwish-zulfiqar/14336
Ms. Naila Mehar,Psychologist,Not Available,Not Available,Not Available,M.Sc.psychology,Not Available,Imranz Medical Center,https://oladoc.com/pakistan/islamabad/dr/psychologist/naila-mehar/17913
Mr. M. Manan Haider,Psychologist,Not Available,Not Available,Not Available,"BSPT, PP-DPT",Not Available,Islamabad Oasis,https://oladoc.com/pakistan/islamabad/dr/psychologist/m.-manan/21482
Dr. Sarmad Ayub,"Psychiatrist, Psychologist",9 Years,Not Available,Not Available,"M.D., MRCPsych, DIP, M.S. Applied Psychology",Not Available,Federal Government Services Hospital (FGSH),https://oladoc.com/pakistan/islamabad/dr/psychiatrist/sarmad-ayub/1507798
Ms. Noreen Akbar,Psychologist,Not Available,Not Available,Not Available,BS (Psychology),"Rs. 2,000",RHS Rehabilitation Centre,https://oladoc.com/pakistan/islamabad/dr/psychologist/noreen-akbar/2622586
Ms. Ayesha Umer,Psychologist,9 Years,100%,15-30 mins,"MS Clinical Psychology, International Certified of Mind Sciences",2500,"Location: Clinics and Diagnostic Hospital
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 04:00 PM - 10:00 PM
Address: Street 110 Main Double Road Near Askari Bank, G 13, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-ayesha-umer
Dr. Semra Salik,Psychologist,10 Years,Not Available,15-30 mins,"PHD, MS",5000,"Location: Islamabad Specialist Clinic (G-8 Markaz)
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 09:00 PM - 11:00 PM
Address: 12 M Square Near Nadra Office, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-semra-salik
Ms. Uzma Masroor,Psychologist,28 Years,Not Available,15-30 mins,"MSc, Phd in Clinical Psychologist",6000,"Location: Islamabad Specialist Clinic (G-8 Markaz)
Timings: Fri : 04:00 PM - 07:00 PM, Sat : 11:00 AM - 06:00 PM
Address: 12 M Square Near Nadra Office, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-uzma-masroor
Ms. Ayesha khan,Psychologist,10 Years,Not Available,15-30 mins,"ADCP (PIMS), MS Clinical Psychology",3500,"Location: Rapid Healing Medical Services
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 12:00 PM - 08:00 PM
Address: Suite 170 A Street 58, F 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-ayesha-khan-2001530
Ms. Maliha Ahmed,Psychologist,9 Years,Not Available,15-30 mins,Msc Psychology,5000,"Location: Sarf Hospital
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 05:00 PM - 07:00 PM
Address: SARF Plaza Plot 6E, F 10, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-maliha-ahmed
Ms. Zainab Ahmed,Psychologist,7 Years,Not Available,15-30 mins,"MPhil, MSc, BSc",2500,"Location: Ms. Zainab Ahmed Clinic
Timings: Sun-Sat : 03:00 PM - 07:00 PM
Address: Main Road, I 10, Islamabad, Islamabad Capital, Pakistan

Location: Rahman Dental Clinic
Timings: Sun-Sat : 03:00 PM - 07:00 PM, Liberty Square Plaza, F 11, Islamabad, Islamabad Capital, Pakistan
Address: ",https://healthwire.pk/doctors/islamabad/psychologist/ms-zainab-ahmed
Mr. Zulfiqar Ali Chaudhary,Psychologist,14 Years,Not Available,15-30 mins,"BS, NBA",5000,"Location: Smart Wellness Centre
Timings: Sun : 09:00 AM - 11:00 PM
Address: 10 A Main 4 Kaghan Road F-8/4, F 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-zulfiqar-ali-chaudhary-2961390
Ms. Anum Azhar,Psychologist,3 Years,Not Available,15-30 mins,"M.Phil. (Clinical Psychology), MSc (Applied Psychology)",1800,"Location: Capital Diagnostic Centre (Blue Area)
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 03:00 PM - 05:00 PM
Address: 22 Service Road Pak Plaza Fazl e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-anum-azhar
Ms. Farhat Jan,Psychologist,6 Years,Not Available,15-30 mins,MS (Clinical Psychology),2500,"Location: Begum Naseem Kausar Welfare Trust
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 10:00 AM - 07:00 PM
Address: 10 Bolan Road Block B, Soan Garden, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-farhat-jan
Ms. Samreen Saleem,Psychologist,8 Years,Not Available,15-30 mins,Ms in Psychology,2000,"Location: Small Steps Learning Center
Timings: Mon-Tue-Wed-Thu-Fri : 03:00 PM - 05:00 PM
Address: Office 1 Lower Ground Plaza 37 Ascon Heights, Bahria Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-samreen-saleem
Ms. Nida zahra,Psychologist,6 Years,Not Available,15-30 mins,"BS (Psychology), MS (Speech and Language Pathology)",2500,"Location: Advanced International Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 03:00 PM - 06:00 PM 
Address: 12-G Markaz Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-nida-zahra
Mr. Nadeem Ghalib,Psychologist,15 Years,Not Available,15-30 mins,Msc (Psychology),2200,"Location: Life Care International Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 07:00 PM - 08:30 PM 
Address: Main Double Road, G 10, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-nadeem-ghalib
Ms. Natasha Shoukat,Psychologist,20 Years,Not Available,15-30 mins,Not Available,3000,"Location: HM Diagnostic Center
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 02:00 PM - 04:00 PM 
Address: Basement No 13 And 14 Arcade Markaz Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-natasha-shoukat-4298209
Ms. Najma Hayat,Psychologist,9 Years,Not Available,15-30 mins,"MS in clinical psychology, Licensed practitioner of Hypnotherapy(NGH-USA), Certified Eidetic therapist(Ireland), Certified Play Therapist(PACP), Certified sensory integration therapist(FFUI)",2500,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Tue-Thu-Sat : 03:30 PM - 07:00 PM 
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-najma-hayat
Ms. Amna Iqbal,"Speech Therapist, Pathologist and Psychologist",11 Years,Not Available,15-30 mins,"M.Sc (Applied Psychology), RBT Trained BCBA (USA), PGD (Speech & Language)",2000,"Location: MaxHealth Hospital
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 10:00 AM - 05:00 PM
Address: Main Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-amna-iqbal-5452053
Ms. Fatima Sarwar,Autism Consultant and Psychologist,9 Years,Not Available,15-30 mins,MSc (Psychology),2000,"Location: MaxHealth Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 02:30 PM - 05:00 PM 
Address: Main Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-fatima-sarwar-2055217
Mr. Zaheen Amin,Psychologist,9 Years,Not Available,15-30 mins,MS Clinical Psychology,2000,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 04:00 PM - 07:00 PM
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-zaheen-amin
Ms. Arooj Irfan,Psychologist,8 Years,Not Available,15-30 mins,"BS (Psychology), M.A (Special Education), PMDCP",3000,"Location: MaxHealth Hospital
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 02:00 PM - 05:00 PM
Address: Main Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-arooj-irfan
Ms. Jamila Hiyat,Psychologist,5 Years,Not Available,15-30 mins,ADCP,1800,"Location: Capital International Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 02:00 PM - 05:00 PM
Address: Street 3 Service Road W, G 12, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-jamila-hiyat
Dr. Syeda Razia Bukhari,Psychologist,13 Years,Not Available,15-30 mins,Ph.D.(Clinical Psychology),5000,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Mon-Tue-Wed-Thu-Fri : 03:00 PM - 06:00 PM
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-syeda-razia-bukhari
Ms. Arham Abtahi,Psychologist,6 Years,Not Available,15-30 mins,M phill applied psychology,3000,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Mon-Tue-Wed-Thu-Fri : 01:00 PM - 07:00 PM
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-arham-abtahi
Ms. Ayesha Munir,Psychologist,5 Years,Not Available,15-30 mins,MS (Clinical Psychology),3500,"Location: Rehman Medical Services
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 03:00 PM - 05:00 PM 
Address: 44 East Office Tower Plaza Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-ayesha-munir-2284198
Ms. Faryal Basheer,Psychologist,4 Years,Not Available,15-30 mins,MS (Clinical Psychology),3500,"Location: Rehman Medical Services
Timings: Sat : 04:00 PM - 06:00 PM
Address: 44 East Office Tower Plaza Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-faryal-basheer-1297408
Ms. Sadaf Irfan Abbasi,Psychologist,12 Years,Not Available,15-30 mins,"B.S. Psychology, M.S.C (Psychology), CBT (Certification), DP",3000,"Location: MaxHealth Hospital
Timings: Mon-Tue-Thu : 04:00 PM - 07:00 PM
Address: Main Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-sadaf-irfan-abbasi
Ms. Ayesha Waheed,Psychologist,11 Years,Not Available,15-30 mins,BS in Psychology,3000,"Location: Rehman Medical Services
Timings: Sat : 01:00 PM - 04:00 PM 
Address: 44 East Office Tower Plaza Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-ayesha-waheed-2287033
Ms. Sadaf Tafseer,Psychologist,6 Years,Not Available,15-30 mins,Bs (Psychology),3500,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Mon-Tue-Wed-Thu-Fri : 11:00 AM - 07:00 PM 
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-sadaf-tafseer
Ms. Syeda Durr-e-Shahwar,Psychologist,6 Years,Not Available,15-30 mins,MSc (Clinical Psychology),3000,"Location: Shaafi Medical and Rehabilitation Complex
Timings: Mon-Tue-Wed-Thu-Fri : 03:00 PM - 06:00 PM 
Address: 102 A 1st Floor 87-E Azeem Mansion F 7/G 7 Fazal e Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-syeda-durr-e-shahwar
Mr. Adeel Ahmad Dhaliwal,Psychologist,9 Years,Not Available,15-30 mins,MSc (Applied Psychology),2000,"Location: Zobia Hospital (G-9)
Timings: Mon-Tue-Wed-Thu-Fri : 06:00 PM - 08:00 PM
Address:  Street 30, G 9, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-adeel-ahmad-dhaliwal
Mr. Shahid Hussain Awan,Psychologist,11 Years,Not Available,15-30 mins,"Mphil, PGD, M.Sc",Not Available,"Location: Al Safiya Medical and Diagnostic Centre
Timings: Not Available
Address: G-8 Markaz, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-shahid-hussain-awan
Dr. Aftab Hussain,Psychologist,1 Years,Not Available,15-30 mins,"M.Sc. Psychology, M.Phil. (Psychology), Phd (continue)",Not Available,"Location: Safe Care Trust International Hospital
Timings: Not Available
Address: Main Motorway Chowk, Jhangi Syedan, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-aftab-hussain-1299728
Ms. Aamenah Batool,Psychologist,1 Years,Not Available,15-30 mins,"Bs Psychology, ADCP",Not Available,"Location: Ayat Medical Center
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: Shop 11 Farooq Market, G 13, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-aamenah-batool
Naveed Sultan,Psychologist,1 Years,Not Available,15-30 mins,"M.PHILL (Psychology), CBT, TBT, EFT (Certified), PMDCP",Not Available,"Location: Happy Life Psychological Services Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: Street No 5 Phase 4 B , Ghauri Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/naveed-sultan-1326943
Dr. Sadia Bashir,Psychologist,1 Years,Not Available,15-30 mins,PHD (Clinical Psychology),Not Available,"Location: Islamabad Brain Care Hospital
Timings: Not Available
Address: House 45 Street 20 Near, F 7, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-sadia-bashir
Ms. Uzma Zahoor,Psychologist,1 Years,Not Available,15-30 mins,"Msc (Psychology), Advance Diploma in Clinical Psychology (ADCP), MS Clinical Psychology",Not Available,"Location: Ghori Specialist Clinic
Timings: Sun-Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM 
Address: Phase 1 Link Road, Ghauri Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-uzma-zahoor-1309937
Ms. Shagufta Mukhta,Psychologist,1 Years,Not Available,15-30 mins,Msc Psychology,Not Available,"Location: IMR: Institute Of Medical Rehabilitation Center
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: 3rd Floor 12 M Doctor Plaza, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-shagufta-mukhta
Mr. Ahtesham ul Haq Abbasi,Psychologist,1 Years,Not Available,15-30 mins,"BS Hons Psychology, MS in Clinical Psychology",Not Available,"Location: IRCL Islamabad Rehab Clinic
Timings: Not Available
Address: House 2 Qasim Avenue, Bani Gala, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-ahtesham-ul-haq-abbasi
Mr. Abdullah,Psychologist,1 Years,Not Available,15-30 mins,"B.S HONS (Psychology), Diploma (Clinical Psychology)",Not Available,"Location: Willing Ways Islamabad Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM 
Address: 103 Saddar Road, G 6, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-abdullah-1321661
Dr. Bashir H Shah,Psychologist,1 Years,Not Available,15-30 mins,"Msc, PMDCP, Ph.D ( Clinical Psychology)",Not Available,"Location: Care & Cure Medical And Dental Clinic
Timings: Not Available
Address: House 897/4 Service Road E, E 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-bashir-h-shah
Ms. Rubab Afzal,Psychologist,1 Years,Not Available,15-30 mins,"Mphil in Clinical Psychology from Preston University Islamabad, MSc in Applied Psychology from Preston University Islamabad, PGD in Clinical Psychology",1500,"Location: Lifeline Specialty Clinics
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 05:00 PM - 09:00 PM
Address: Pearl Arcade Adjacent Excel Labs Main Double Road, Police Foundation Housing Society, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-rubab-afzal
Zumla Yasin,Psychologist,1 Years,Not Available,15-30 mins,Bs (Psychology),Not Available,"Location: Islamabad Medical And Surgical Hospital
Timings: Not Available
Address: Melody Market, G 6, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/zumla-yasin
Ms. Uzma Zahoor,Psychologist,1 Years,Not Available,15-30 mins,"Msc (Psychology), Advance Diploma in Clinical Psychology (ADCP), MS Clinical Psychology",Not Available,"Location: Ghori Specialist Clinic
Timings: Sun-Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: Phase 1 Link Road, Ghauri Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-uzma-zahoor-1309937
Ms. Shagufta Mukhta,Psychologist,1 Years,Not Available,15-30 mins,Msc Psychology,Not Available,"Location: IMR: Institute Of Medical Rehabilitation Center
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: 3rd Floor 12 M Doctor Plaza, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-shagufta-mukhta
Mr. Ahtesham ul Haq Abbasi,Psychologist,1 Years,Not Available,15-30 mins,"BS Hons Psychology, MS in Clinical Psychology",Not Available,"Location: IRCL Islamabad Rehab Clinic
Timings: Not Available
Address: House 2 Qasim Avenue, Bani Gala, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-ahtesham-ul-haq-abbasi
Mr. Abdullah,Psychologist,1 Years,Not Available,15-30 mins,"B.S HONS (Psychology), Diploma (Clinical Psychology)",Not Available,"Location: Willing Ways Islamabad Hospital
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 09:00 PM
Address: 103 Saddar Road, G 6, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-abdullah-1321661
Dr. Bashir H Shah,Psychologist,1 Years,Not Available,15-30 mins,"Msc, PMDCP, Ph.D ( Clinical Psychology)",Not Available,"Location: Care & Cure Medical And Dental Clinic
Timings: Not Available
Address: House 897/4 Service Road E, E 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-bashir-h-shah
Dr. Qurrat Ul Ain,"Speech Therapist, Psychologist,  Medical Specialist and General Physician",1 Years,Not Available,15-30 mins,"MBBS - Rawalpindi Medical University, FCPS  (Medicine) - Pakistan Institute of Medical Sciences",Not Available,"Location: Advance Diagnostic Center
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 03:00 AM - 07:00 AM 
Address: Markaz Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/general-physician/dr-qurrat-ul-ain-1139675
Dr. Sara Zafar,Psychologist,1 Years,Not Available,15-30 mins,(DPT) Doctor of Physical Therapy,Not Available,"Location: PhysioFitt Hospital
Timings: Not Available
Address: Lower Ground Roshan Center, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-sara-zafar-1299731
Dr. Talat Habib,Psychiatrist and Psychologist,1 Years,Not Available,15-30 mins,"Doctor of Medicine (M.D.), Addiction Psychiatry Residency Program",Not Available,"Location: Detox Rehabs Mental Health Hospital
Timings: Not Available
Address: House 11 786 Zaib Un Nisa Street, Bani Gala, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-talat-habib
Dr. Yasir Masood Afaq,Psychologist,1 Years,Not Available,15-30 mins,"MSc (Psychology), MS in Clinical Psychology, PhD (Scholar)",Not Available,"Location: House Of Wellness Mental Health Treatment & Resource Center
Timings: Not Avaible
Address: East 3rd Floor 8th Plaza Sector A Jinnah Boulevard GT Road Phase II, DHA, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-yasir-masood-afaq
Ambreen Rashid Khan,Psychologist,1 Years,Not Available,15-30 mins,"MS (Psychology), Post Magisterial Diploma in Clinical Psychology, Master of Public Health",Not Available,"Location: Islamabad Psychological Center
Timings: Not Available
Address: H 337 Sawan Road, G 10, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ambreen-rashid-khan
Dr. W H Sukoon,Psychologist,1 Years,Not Available,15-30 mins,"MSc, M.phil, PhD",Not Available,"Location: Sukoon Clinic
Timings: Mon-Tue-Wed-Thu-Fri : 10:00 AM - 02:00 PM
Address: Park Road, Chak Shahzad, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-w-h-sukoon
Dr. Husna Naz,Psychologist,1 Years,Not Available,15-30 mins,MS (Psychology),Not Available,"Location: Subh-E-Tanveer Psychotherapy Centre
Timings: Mon-Tue-Wed-Thu-Fri : 05:00 PM - 08:00 PM 
Address: Fisrt Floor 27 Executive Complex Sector G, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-husna-naz
Dr. Imtiaz Bukhari,Counsellor and Psychologist,1 Years,Not Available,15-30 mins,"MSc (Psychology), PhD Psychology",Not Available,"Location: Islamabad International Hospital
Timings: Not Availble
Address: Main Double Road Northern Strip FECHS, E 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-imtiaz-bukhari
Ms. Madiha Riaz,"Addiction Specialist, Counsellor and Psychologist",1 Years,Not Available,15-30 mins,BS (Psychology),Not Available,"Location: Advance Diagnostic Center
Timings: Not Available
Address: Markaz Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-madiha-riaz
Haider Ali,Psychologist,1 Years,Not Available,15-30 mins,M.Ed (Human Development & Psychology),Not Available,"Location: The After Hour Therapist Hospital
Timings: Not Available
Address: House No 150 Street 14, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/haider-ali-1320582
Muhammad Tahir,Psychologist,1 Years,Not Available,15-30 mins,"MphilI (Clinical Psychology), MSC",Not Available,"Location: Institute Of Rehabilitation And Drug Addiction(Irada) Hospital
Timings: Not Available
Address: Sector G , G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/muhammad-tahir-1326990
